[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 090 step 035300] loss=0.06238 lr=2.000e-04
[epoch 090 step 035400] loss=0.06328 lr=2.000e-04
[epoch 091 step 035500] loss=0.04145 lr=2.000e-04
[epoch 091 step 035600] loss=0.05941 lr=2.000e-04
[epoch 091 step 035700] loss=0.05693 lr=2.000e-04
[epoch 091 step 035800] loss=0.06223 lr=2.000e-04
[epoch 092 step 035900] loss=0.06568 lr=2.000e-04
[epoch 092 step 036000] loss=0.06110 lr=2.000e-04
[epoch 092 step 036100] loss=0.05078 lr=2.000e-04
[epoch 092 step 036200] loss=0.05029 lr=2.000e-04
[epoch 093 step 036300] loss=0.04528 lr=2.000e-04
[epoch 093 step 036400] loss=0.03916 lr=2.000e-04
[epoch 093 step 036500] loss=0.04554 lr=2.000e-04
[epoch 093 step 036600] loss=0.06155 lr=2.000e-04
[epoch 093 attempt 036634] optimizer step skipped; scaler=2097152.0
[epoch 094 step 036700] loss=0.04726 lr=2.000e-04
[epoch 094 step 036800] loss=0.07227 lr=2.000e-04
[epoch 094 step 036900] loss=0.05454 lr=2.000e-04
[epoch 094 step 037000] loss=0.05925 lr=2.000e-04
[epoch 095 step 037100] loss=0.06541 lr=2.000e-04
[epoch 095 step 037200] loss=0.05476 lr=2.000e-04
[epoch 095 step 037300] loss=0.04999 lr=2.000e-04
